map,record,member,date
CTF-BT-OceanRun,13.023,BlueBalls,2022-02-07
CTF-BT-Octogonia-v2,02:44.869,p-a-w-e-l,2021-08-22
CTF-BT-OIC-Ju-Warehouse_i4g,01:04.634,Nightwolf`,2014-01-21
CTF-BT-Old-Shipyard-v2,01:39.437,BlueBalls,2022-02-01
CTF-BT-OldMill-v2,01:48.315,fierd_3,2014-12-06
CTF-BT-Omgroflmao-v3,57.209,}ElitE{Mike`,2022-09-27
CTF-BT-Ominous,01:46.769,Nightwolf`,2022-10-18
CTF-BT-Ominous(NV),01:38.741,Nightwolf`,2013-04-19
CTF-BT-omwtoXmas,03:15.515,Dylanbro,2022-10-15
CTF-BT-OneHour-Two-V2,10.062,~DarK~JoJo~,2026-02-26
CTF-BT-OnIce,58.008,~DarK~JoJo~,2026-03-09
CTF-BT-oo's!-vF,01:29.856,~DarK~JoJo~,2025-06-07
CTF-BT-Opalline_V3,01:25.479,Marmolak,2020-04-24
CTF-BT-Opalline_Vez,01:09.308,Marmolak,2022-04-21
CTF-BT-OptimusPrime,03:31.557,OwYeaW,2016-10-11
CTF-BT-Oracle,02:37.846,OwYeaW,2016-04-18
CTF-BT-OrangeCity-v2,02:18.510,Nightwolf`,2022-04-02
CTF-BT-Orbis-v2,18.874,Nightwolf`,2017-01-12
CTF-BT-Orbital-v2,01:56.380,Nightwolf`,2012-10-20
CTF-BT-Osiris,01:27.071,|bc|chekz_=],2021-11-02
CTF-BT-Oubliette,01:29.962,}ElitE{Bon,2022-03-15
CTF-BT-Over(Roel)ed,03:49.610,}ElitE{Bon,2012-01-18
CTF-BT-Overnight-v3,01:33.090,Nightwolf`,2014-03-10
CTF-BT-OvertureV2,01:29.087,BlueBalls,2022-05-23
CTF-BT-Ownage,01:25.646,}ElitE{Mike`,2012-11-09
CTF-BT-OwnedPloxV2,39.264,Nightwolf`,2014-10-03
CTF-BT-PainV3,50.792,Nightwolf`,2012-08-25
CTF-BT-PainV5b,01:29.827,Nightwolf`,2012-08-25
CTF-BT-PaldorsPlayhouse_dbl,03:36.176,}ElitE{Mike`,2012-11-08
CTF-BT-PanicLand-v1,01:16.021,~DarK~JoJo~,2025-06-04
CTF-BT-Paradox,15.652,}ElitE{Bon,2021-06-15
CTF-BT-PartyIsland,01:49.367,~DarK~JoJo~,2025-04-07
CTF-BT-Peaceful_EZ,01:25.130,~DarK~JoJo~,2024-03-26
CTF-BT-Peaceful_fix,01:18.342,fierd_3,2013-03-22
CTF-BT-PeakRushV1fix,34.608,~DarK~JoJo~,2025-04-09
CTF-BT-Perfect1-v2,19.814,Dylanbro,2019-12-22
CTF-BT-Perfect10-v3,01:15.129,Nightwolf`,2022-11-08
CTF-BT-Perfect2-v5,48.074,}ElitE{Mike`,2021-04-10
CTF-BT-PerfectView,01:39.895,Nightwolf`,2021-05-22
CTF-BT-PergamonCE2,03:43.843,Nightwolf`,2013-05-21
CTF-BT-PerilousFacility,01:55.266,BlueBalls,2022-01-18
CTF-BT-PhalanX,01:53.680,p-a-w-e-l,2021-07-29
CTF-BT-Phantom][v2,53.088,Nightwolf`,2012-08-25
CTF-BT-Phantom]I[-v2b,01:41.866,fierd_6,2017-02-10
CTF-BT-Pharaon_nmc,01:26.229,fierd_3,2013-05-26
CTF-BT-Pharoah][BE,02:22.366,~DarK~JoJo~,2024-03-19
CTF-BT-Pharoah][V2,02:18.007,~DarK~JoJo~,2024-03-19
CTF-BT-PharoahV2,01:15.405,}ElitE{Bon,2022-10-23
CTF-BT-Phase1-v2,01:25.846,Nightwolf`,2019-05-10
CTF-BT-Phase2,01:31.528,Dylanbro,2015-06-12
CTF-BT-Phazon,45.820,Dylanbro,2022-05-15
CTF-BT-Phenixv3,01:04.781,Nightwolf`,2012-08-26
CTF-BT-PinkBunny-SE2,01:15.536,~DarK~JoJo~,2025-05-08
CTF-BT-Pipes_fix,01:57.497,fierd_1,2013-12-01
CTF-BT-PisoMojado-v3,01:19.404,Dylanbro,2021-08-19
CTF-BT-PlastmeBaby,01:19.826,Nightwolf`,2012-08-23
CTF-BT-PlungeEZ,01:09.966,Nightwolf`,2022-05-08
CTF-BT-PlungeV2,01:08.787,Nightwolf`,2022-05-08
CTF-BT-PolarExpedition,52.597,Nightwolf`,2022-04-20
CTF-BT-PompInc,14.723,Nightwolf`,2022-03-14
CTF-BT-PompTraxx-v2,42.952,Nightwolf`,2012-10-17
CTF-BT-Portable-v2,02:40.958,p-a-w-e-l,2020-09-28
CTF-BT-Portal-v2,29.869,}ElitE{Bon,2011-05-21
CTF-BT-PortalPart1V6,06:06.335,artur509,2023-03-15
CTF-BT-PortalRushV2,35.540,}ElitE{Bon,2021-08-27
CTF-BT-POS_dbl,16.882,}ElitE{Bon,2021-08-19
CTF-BT-PoseidonsCave][,01:05.545,~DarK~JoJo~,2026-01-26
CTF-BT-Posterity][,02:34.089,~DarK~JoJo~,2026-03-13
CTF-BT-Postmodern_dbl-v4,02:39.644,p-a-w-e-l,2021-08-31
CTF-BT-PotentiaV1,03:12.621,}ElitE{Bon,2021-10-23
CTF-BT-Poverty-v2,05:02.626,Dylanbro,2018-01-08
CTF-BT-PrayDohsRink-dbl,29.638,Dylanbro,2022-11-01
CTF-BT-Preludio-dbl,38.521,BlueBalls,2022-01-20
CTF-BT-PressureZone,01:09.608,}ElitE{Bon,2021-11-08
CTF-BT-Primitus-v4,01:52.388,fierd_3,2014-11-30
CTF-BT-Primordial,01:31.999,Dylanbro,2021-10-23
CTF-BT-PrisonBreak,01:40.983,~DarK~JoJo~,2024-03-12
CTF-BT-Prodigy-v2,55.917,Dylanbro,2012-08-06
CTF-BT-PsychoJungle,01:00.370,Dylanbro,2014-01-28
CTF-BT-PsychoJungle2,36.135,BlueBalls,2022-02-20
CTF-BT-Puff,19.967,}ElitE{Bon,2017-01-09
CTF-BT-PureFreestyle,14.452,Nightwolf`,2016-01-02
CTF-BT-Purgatory,02:47.994,Nightwolf`,2022-04-23
CTF-BT-PurpleChristmas,29.591,}ElitE{Mike`,2022-02-28
CTF-BT-PurpleChristmas][,21.868,}ElitE{Bon,2021-07-07
CTF-BT-PurplePeopleEater_dbl,47.406,~DarK~JoJo~,2025-01-25
CTF-BT-PushPush,02:58.921,}ElitE{Bon,2013-05-27
CTF-BT-PuzzleCastle-vf,07:04.062,Zla_Bakica,2022-03-05
CTF-BT-Qjahe_fix,33.981,}ElitE{HellFire`,2018-02-25
CTF-BT-QuadDamage,50.818,}ElitE{Bon,2021-08-18
CTF-BT-Quantifier,51.988,}ElitE{Bon,2022-02-14
CTF-BT-Quarantine-v3,01:15.507,Dylanbro,2011-11-29
CTF-BT-Qubit-v2,41.418,BlueBalls,2022-02-21
CTF-BT-QueensNest-v3,03:22.753,Nightwolf`,2022-04-18
CTF-BT-QuickAndEasy-v4,25.801,Dylanbro,2022-01-11
CTF-BT-R3B12,04.671,Nightwolf`,2021-08-13
CTF-BT-R@D@R-vF,01:37.556,}ElitE{Mike`,2009-10-14
CTF-BT-Radosna,02:18.824,fierd_3,2012-01-09
CTF-BT-RandomActsofViolence,02:13.326,OwYeaW,2016-05-15
CTF-BT-RandomizeD-v2,01:32.235,Nightwolf`,2014-12-06
CTF-BT-RapaKupa_iw!-dbl,31.479,}ElitE{Mike`,2021-05-26
CTF-BT-Rapture-fix2,47.036,Nightwolf`,2017-06-13
CTF-BT-Rating0-v3,32.356,Nightwolf`,2016-02-04
CTF-BT-Rating1-v2,01:12.475,Nightwolf`,2022-04-04
CTF-BT-Razerox,01:47.901,~DarK~JoJo~,2025-04-10
CTF-BT-Reach-dbl,44.681,~DarK~JoJo~,2024-03-24
CTF-BT-ReactionV2,53.532,BlueBalls,2022-03-06
CTF-BT-ReactorEscape,03:42.945,~DarK~JoJo~,2025-06-05
CTF-BT-ReadyForBunnyTrackCB3,01:03.115,Dylanbro,2021-11-28
CTF-BT-ReadySteadyGo-fix,20.478,Dylanbro,2021-06-09
CTF-BT-Rebellion-v4,04:58.748,Nightwolf`,2019-04-04
CTF-BT-Rebirth-v3,02:29.742,fierd_6,2017-07-10
CTF-BT-RecoilV2,35.442,*WeeDy*,2020-07-05
CTF-BT-RecurrenceCE101,02:41.195,Nightwolf`,2021-09-09
CTF-BT-RecurrenceRushFE101,01:17.984,~DarK~JoJo~,2024-02-12
CTF-BT-RedPlanet,03:31.895,BlueBalls,2022-01-25
CTF-BT-REDvsBLUE-(Level1),08.882,Nightwolf`,2022-10-20
CTF-BT-REDvsBLUE-(Level2)CB,19.772,Nightwolf`,2017-02-18
CTF-BT-REDvsBLUE-(Level3),36.594,fierd_3,2012-01-06
CTF-BT-RegurgitateV2,02:09.360,BlueBalls,2022-08-09
CTF-BT-Reincarnation,02:01.015,Nightwolf`,2022-04-14
CTF-BT-Relentless,49.969,Dylanbro,2014-09-19
CTF-BT-ReLoaded-vF,45.749,fierd_6,2017-06-10
CTF-BT-Reminiscence,01:29.323,Nightwolf`,2012-10-05
CTF-BT-RescueCopterUN,01:18.233,Dylanbro,2013-11-11
CTF-BT-ResearchFacility-v2,01:22.512,}ElitE{Bon,2010-11-20
CTF-BT-ResearchFacilityRE,01:14.483,Dylanbro,2012-07-23
CTF-BT-Resistance,02:18.766,}ElitE{Bon,2019-09-07
CTF-BT-Resurgence_v3b,03:21.212,BlueBalls,2022-02-07
CTF-BT-Revenge-LE102-dbl,24.427,~DarK~JoJo~,2025-01-21
CTF-BT-ReversionV3,02:33.117,}ElitE{Bon,2022-12-12
CTF-BT-Revolution-v2,02:31.550,fierd_3,2014-11-29
CTF-BT-REX-Ancient,01:11.434,fierd_1,2013-12-01
CTF-BT-REX-Gech][,01:01.981,}ElitE{HellFire`,2017-11-02
CTF-BT-REX-Pyramid][,01:33.942,Nightwolf`,2012-07-30
CTF-BT-Ricola-v2,02:13.105,|bc|chekz_=],2022-01-27
CTF-BT-RideTheMagicDonkey,46.757,fierd_1,2014-09-21
CTF-BT-RO-DecayedCollapse-v3,01:45.889,}ElitE{Bon,2022-01-14
CTF-BT-RO-Rush,33.930,fierd_6,2011-12-01
CTF-BT-RO-Undiscovered,01:59.452,Nightwolf`,2013-05-13
CTF-BT-RoadToCoret_i4g-vF,02:04.592,Nightwolf`,2014-10-24
CTF-BT-RobinHood,02:00.534,Nightwolf`,2012-09-13
CTF-BT-RobinHood][_dbl2,04:37.260,Nightwolf`,2022-04-13
CTF-BT-RocketBunny-FW-V-NoRX3,02:23.369,Dylanbro,2012-12-22
CTF-BT-RockVille_fix,49.618,}ElitE{Mike`,2022-03-23
CTF-BT-Roflcopter,02:30.444,Dylanbro,2014-02-01
CTF-BT-Rook,01:40.594,Dylanbro,2022-05-14
CTF-BT-RoomCastle,40.917,Zla_Bakica,2022-03-20
CTF-BT-RoomofDespair-dbl,30.065,Dylanbro,2021-09-25
CTF-BT-RooVersy,48.036,}ElitE{Mike`,2022-03-03
CTF-BT-Ross-H,24.275,}ElitE{HellFire`,2017-06-07
CTF-BT-RottenDungeon-fix,49.453,Dylanbro,2021-06-28
CTF-BT-RoundTable_dbl2,57.399,}ElitE{HellFire`,2019-08-18
CTF-BT-Royalty-fix2,02:47.342,}ElitE{HellFire`,2021-09-22
CTF-BT-rp0_V1,44.670,Dylanbro,2021-09-01
CTF-BT-rp0_V2,46.510,Dylanbro,2021-09-02
CTF-BT-Ruination,01:02.516,Dylanbro,2021-10-23
CTF-BT-Ruins-Bridge-V112,01:59.915,}ElitE{HellFire`,2022-08-18
CTF-BT-RuSh2008,39.615,~DarK~JoJo~,2026-03-31
CTF-BT-Rush2011,36.673,Nightwolf`,2021-08-24
CTF-BT-Rush25,30.187,~DarK~JoJo~,2025-10-22
CTF-BT-RushAsAMf(EV),28.988,}ElitE{Mike`,2021-08-15
CTF-BT-RushForJesus,34.390,~DarK~JoJo~,2025-06-07
CTF-BT-RushForZiP-v2,01:14.974,AlmostTheWorst,2021-05-21
CTF-BT-RushMap,16.569,Nightwolf`,2022-03-09
CTF-BT-RushNoob-fix,21.576,}ElitE{Mike`,2022-09-29
CTF-BT-RushRoom,13.815,Nightwolf`,2017-11-27
CTF-BT-RushRoom2-v3,24.742,Nightwolf`,2022-03-07
CTF-BT-RushRoom3,07.164,*WeeDy*,2022-03-09
CTF-BT-RushRooms,01:19.698,BlueBalls,2021-11-05
CTF-BT-RushStation-v3,01:09.943,~DarK~JoJo~,2025-04-04
CTF-BT-RushyRush,52.507,Nightwolf`,2022-05-15
CTF-BT-Salt-N-Pepper,01:05.248,fierd_6,2012-10-18
CTF-BT-SanctuaryOfDarkness,55.624,~DarK~JoJo~,2025-11-20
CTF-BT-SandMummy_dbl,26.774,}ElitE{Bon,2016-11-12
CTF-BT-Sara-v2,01:20.205,}ElitE{Bon,2013-05-16
CTF-BT-Savage-v2,53.339,Dylanbro,2012-09-21
CTF-BT-SayGoodbye2013-v3,01:10.904,~DarK~JoJo~,2026-01-20
CTF-BT-Scafia,01:15.578,}ElitE{Bon,2022-10-15
CTF-BT-Scarab,02:10.656,}ElitE{Bon,2022-01-30
CTF-BT-Scenes,01:47.002,Nightwolf`,2014-03-11
CTF-BT-SchnelleGeisterV2,01:12.813,BlueBalls,2022-05-30
CTF-BT-Schwimmeng,10.987,}ElitE{Bon,2022-10-31
CTF-BT-Sear,02:41.081,}ElitE{Bon,2022-03-17
CTF-BT-Section3-PE,01:48.130,BlueBalls,2021-11-26
CTF-BT-Sector9_v2,46.818,Nightwolf`,2022-04-07
CTF-BT-Senyo,01:11.640,Dylanbro,2013-10-27
CTF-BT-SenyosTomb-v2,02:02.524,Nightwolf`,2016-11-12
CTF-BT-SepultectA_IG,54.798,}ElitE{Mike`,2021-07-20
CTF-BT-SexyParty!,01:16.891,Nightwolf`,2022-04-22
CTF-BT-Shapes,57.698,}ElitE{Bon,2012-02-11
CTF-BT-Shift][NW,29.528,TDN-Berserker,2020-02-13
CTF-BT-ShiftNW,29.156,TDN-Berserker,2023-05-09
CTF-BT-Shit,38.028,OwYeaW,2019-04-16
CTF-BT-ShitMap,08.737,Nightwolf`,2022-02-19
CTF-BT-Shizbizzles,36.530,Marmolak,2022-04-27
CTF-BT-ShootToCap-FW-NoRX,02:09.834,OwYeaW,2017-03-13
CTF-BT-Short-Fun,26.131,}ElitE{Bon,2013-06-25
CTF-BT-Short-n-Easy,56.738,Nightwolf`,2014-12-02
CTF-BT-Short-Trip-vLO,13.231,Nightwolf`,2019-05-30
CTF-BT-Shortfile,23.168,}ElitE{Bon,2021-09-08
CTF-BT-Shur_fix,01:16.060,~DarK~JoJo~,2025-12-21
CTF-BT-SiberiaRun,11.582,BlueBalls,2022-02-27
CTF-BT-SimpleBT2,47.438,}ElitE{Bon,2020-11-03
CTF-BT-SimpleBT3-vf,01:27.244,~DarK~JoJo~,2025-04-06
CTF-BT-SimpleBT_i4g-v2,48.503,}ElitE{Bon,2020-11-03
CTF-BT-SimpleChallenge-v2,02.810,Nightwolf`,2022-03-15
CTF-BT-Simplicity,09.044,Nightwolf`,2017-01-20
CTF-BT-Sinister,38.159,Dylanbro,2012-11-11
CTF-BT-Sirrington,49.494,Ensiferum,2021-11-13
